ProblemId,ProblemName,conv0,it0,conv1,it1,relation,isEffective,problem_id,id,size,split,path,rows,cols,nonzeros,posdef,nsym,psym,density,avg_nnz,max_nnz,std_nnz,avg_row_block_count,std_row_block_count,min_row_block_count,max_row_block_count,avg_row_block_size,std_row_block_size,min_row_block_size,max_row_block_size,block_count
1075-556-307,Sandia/fpga_dcop_21,1,4,1,51,0.0784313725490196,0,1075-556-307,1075,556,307,/home/anna/.ssgetpy/MM/Sandia/fpga_dcop_21/fpga_dcop_21.mtx,556,556,1110,False,0.0,1.0,0.003590652657729931,1.9964028776978417,2,0.0598680466801915,1.0,0.0,1,1,1.9964028776978417,0.0598680466801915,1,2,556
371-1227-659,Bomhof/circuit_2,1,1,1,51,0.0196078431372549,0,371-1227-659,371,1227,659,/home/anna/.ssgetpy/MM/Bomhof/circuit_2/circuit_2.mtx,1227,1227,1227,False,1,1,0.0008149959250203749,1.0,1,0.0,1.0,0.0,1,1,1.0,0.0,1,1,1227
1621-1010-35,Bai/mhd1280b,1,672,1,55,12.2181818181818,1,1621-1010-35,1621,1010,35,/home/anna/.ssgetpy/MM/Bai/mhd1280b/mhd1280b.mtx,1010,1010,18148,True,1.0,1.0,0.0177904127046368,17.96831683168317,32,9.826363112486204,4.587128712871287,1.676521821831306,1,7,3.917116339304986,3.8577158037622814,1,12,4633
2745-156-77,VDOL/spaceStation_12,0,200,1,51,3.92156862745098,1,2745-156-77,2745,156,77,/home/anna/.ssgetpy/MM/VDOL/spaceStation_12/spaceStation_12.mtx,156,156,414,False,1.0,1.0,0.017011834319526627,2.6538461538461537,3,0.4757429568020378,2.6538461538461537,0.4757429568020378,2,3,1.0,0.0,1,1,414
1008-426-1193,Sandia/adder_dcop_25,1,42,0,0,0.0,0,1008-426-1193,1008,426,1193,/home/anna/.ssgetpy/MM/Sandia/adder_dcop_25/adder_dcop_25.mtx,426,426,1069,False,0.0,0.593167701863354,0.0058905860830082216,2.5093896713615025,7,1.248199256562447,1.7435294117647058,0.8958002743289876,1,5,1.4426450742240216,0.6681620364523628,1,5,741
405-1343-522,DRIVCAV/cavity26,0,1350,1,200,6.75,1,405-1343-522,405,1343,522,/home/anna/.ssgetpy/MM/DRIVCAV/cavity26/cavity26.mtx,1343,1343,39203,False,0.0,0.9773940345368917,0.021735381995055578,29.190618019359643,62,14.628158613211937,5.89873417721519,1.843106705860875,2,13,4.948624084827064,5.572207265977455,1,22,7922
2687-831-2424,VDOL/freeFlyingRobot_15,1,348,1,51,6.82352941176471,1,2687-831-2424,2687,831,2424,/home/anna/.ssgetpy/MM/VDOL/freeFlyingRobot_15/freeFlyingRobot_15.mtx,831,831,831,False,1.0,1.0,0.0012033694344163659,1.0,1,0.0,1.0,0.0,1,1,1.0,0.0,1,1,831
2736-122-119,VDOL/spaceStation_3,0,150,1,51,2.94117647058824,1,2736-122-119,2736,122,119,/home/anna/.ssgetpy/MM/VDOL/spaceStation_3/spaceStation_3.mtx,122,122,122,False,1.0,1.0,0.00819672131147541,1.0,1,0.0,1.0,0.0,1,1,1.0,0.0,1,1,122
1100-345-131,Sandia/fpga_dcop_46,1,24,1,59,0.406779661016949,0,1100-345-131,1100,345,131,/home/anna/.ssgetpy/MM/Sandia/fpga_dcop_46/fpga_dcop_46.mtx,345,345,747,False,0.17412935323383086,0.7960199004975125,0.006275992438563327,2.1652173913043478,4,0.7831238240249836,1.434782608695652,0.625039381241966,1,4,1.509090909090909,0.499917348540637,1,2,495
225-761-76,HB/orsirr_1,1,281,1,74,3.7972972972973,1,225-761-76,225,761,76,/home/anna/.ssgetpy/MM/HB/orsirr_1/orsirr_1.mtx,761,761,4967,False,0.45173561578697097,1.0,0.008576791378658346,6.526938239159001,13,1.2140752314706393,4.747700394218134,1.1574806547342138,3,13,1.3747578189869913,0.7518917765145867,1,4,3613
395-145-2524,DRIVCAV/cavity16,1,77,0,0,0.0,0,395-145-2524,395,145,2524,/home/anna/.ssgetpy/MM/DRIVCAV/cavity16/cavity16.mtx,145,145,2340,False,0.6066308243727598,0.9605734767025089,0.1112960760998811,16.137931034482758,26,5.972738995729775,2.9027777777777777,0.6381336115366747,1,5,5.598086124401914,6.008462626274592,1,22,418
141-142-7,HB/fs_183_1,1,6,0,54,0.111111111111111,0,141-142-7,141,142,7,/home/anna/.ssgetpy/MM/HB/fs_183_1/fs_183_1.mtx,142,142,560,False,0.0,0.4354066985645933,0.027772267407260465,3.943661971830986,47,5.524305638462214,3.0774647887323945,2.5648598887191025,1,17,1.2814645308924486,1.3768101151340857,1,23,437
1605-461-4246,Cylshell/s1rmq4m1,1,310,1,57,5.43859649122807,1,1605-461-4246,1605,461,4246,/home/anna/.ssgetpy/MM/Cylshell/s1rmq4m1/s1rmq4m1.mtx,461,461,16415,True,1.0,1.0,0.07723942575086697,35.60737527114968,54,8.145362510103139,4.362255965292841,2.6732803598614625,2,13,8.162605668821481,6.093496135210365,1,18,2011
391-727-1081,DRIVCAV/cavity12,0,750,1,112,6.69642857142857,1,391-727-1081,391,727,1081,/home/anna/.ssgetpy/MM/DRIVCAV/cavity12/cavity12.mtx,727,727,20101,False,0.0,0.9690279055504446,0.03803197175557065,27.64924346629986,62,14.026088734116609,5.631361760660248,1.8959179170216818,1,13,4.909868099658036,5.483726899254885,1,22,4094
251-234-4,HB/steam1,0,250,1,53,4.71698113207547,1,251-234-4,251,234,4,/home/anna/.ssgetpy/MM/HB/steam1/steam1.mtx,234,234,2181,False,0.27426810477657937,0.6235233692860811,0.03983125136971291,9.320512820512821,16,2.7087713953115085,5.97008547008547,1.7840588007856344,2,10,1.5612025769506084,0.8905843190041384,1,5,1397
2676-241-204,VDOL/freeFlyingRobot_4,1,31,1,51,0.607843137254902,0,2676-241-204,2676,241,204,/home/anna/.ssgetpy/MM/VDOL/freeFlyingRobot_4/freeFlyingRobot_4.mtx,241,241,241,False,1.0,1.0,0.004149377593360996,1.0,1,0.0,1.0,0.0,1,1,1.0,0.0,1,1,241
1558-919-7090,Schenk_IBMNA/c-39,1,1,1,51,0.0196078431372549,0,1558-919-7090,1558,919,7090,/home/anna/.ssgetpy/MM/Schenk_IBMNA/c-39/c-39.mtx,919,919,919,False,1.0,1.0,0.001088139281828074,1.0,1,0.0,1.0,0.0,1,1,1.0,0.0,1,1,919
1186-105-1721,Rajat/rajat02,1,47,0,0,0.0,0,1186-105-1721,1186,105,1721,/home/anna/.ssgetpy/MM/Rajat/rajat02/rajat02.mtx,105,105,385,False,1.0,1.0,0.03492063492063492,3.6666666666666665,8,1.4843094701492014,2.057142857142857,0.7907630001770314,1,5,1.7824074074074074,0.9198760689176301,1,5,216
21-258-991,HB/bcspwr09,1,20,0,0,0.0,0,21-258-991,21,258,991,/home/anna/.ssgetpy/MM/HB/bcspwr09/bcspwr09.mtx,258,258,426,False,1.0,1.0,0.0063998557778979625,1.6511627906976745,4,0.8035884903800463,1.4224806201550388,0.6066479650508938,1,4,1.1607629427792916,0.435217338596216,1,3,367
1557-1199-6735,Schenk_IBMNA/c-38,1,1,1,51,0.0196078431372549,0,1557-1199-6735,1557,1199,6735,/home/anna/.ssgetpy/MM/Schenk_IBMNA/c-38/c-38.mtx,1199,1199,1199,False,1.0,1.0,0.0008340283569641367,1.0,1,0.0,1.0,0.0,1,1,1.0,0.0,1,1,1199
1606-400-203,Cylshell/s2rmq4m1,0,400,1,57,7.01754385964912,1,1606-400-203,1606,400,203,/home/anna/.ssgetpy/MM/Cylshell/s2rmq4m1/s2rmq4m1.mtx,400,400,13686,True,1.0,1.0,0.0855375,34.215,54,6.734521141105729,4.0675,2.537310337739552,2,12,8.41180086047941,6.164518365371286,1,18,1627
2416-175-20,AG-Monien/grid1,1,58,0,0,0.0,0,2416-175-20,2416,175,20,/home/anna/.ssgetpy/MM/AG-Monien/grid1/grid1.mtx,175,175,368,False,1.0,1.0,0.012016326530612244,2.1028571428571428,4,0.9968787855197796,1.769736842105263,0.7819543224043651,1,3,1.3680297397769516,0.5404289077390352,1,3,269
1615-1661-4269,Bai/dw8192,0,1700,1,147,11.5646258503401,1,1615-1661-4269,1615,1661,4269,/home/anna/.ssgetpy/MM/Bai/dw8192/dw8192.mtx,1661,1661,8123,False,0.9309811203961622,1.0,0.0029442669797359183,4.890427453341361,5,0.32371432960765567,2.9229379891631546,0.26668981480856596,2,3,1.6731204943357363,0.9391630501189426,1,3,4855
306-101-3,Bai/ck104,1,97,1,60,1.61666666666667,1,306-101-3,306,101,3,/home/anna/.ssgetpy/MM/Bai/ck104/ck104.mtx,101,101,961,False,0.0,1.0,0.0942064503480051,9.514851485148515,10,1.1824949407392964,4.782178217821782,0.555868073172998,3,5,1.989648033126294,0.10121661748720759,1,2,483
306-101-3,Bai/ck104,1,97,1,60,1.61666666666667,1,306-101-3,306,101,3,/home/anna/.ssgetpy/MM/Bai/ck104/ck104.mtx,101,101,961,False,0.0,1.0,0.0942064503480051,9.514851485148515,10,1.1824949407392964,4.782178217821782,0.555868073172998,3,5,1.989648033126294,0.10121661748720759,1,2,483
771-1464-7316,Nemeth/nemeth07,1,6,1,52,0.115384615384615,0,771-1464-7316,771,1464,7316,/home/anna/.ssgetpy/MM/Nemeth/nemeth07/nemeth07.mtx,1464,1464,60066,False,1.0,1.0,0.02802506046761623,41.028688524590166,51,7.062697121479797,6.184426229508197,1.5422565519005969,2,9,6.634194831013916,9.281133334398163,1,45,9054
1161-273-150,Sandia/oscil_dcop_50,1,87,1,69,1.26086956521739,0,1161-273-150,1161,273,150,/home/anna/.ssgetpy/MM/Sandia/oscil_dcop_50/oscil_dcop_50.mtx,273,273,957,False,0.5734870317002881,0.9942363112391931,0.012840639214265587,3.5054945054945055,13,1.3989029692473591,2.3626373626373627,1.2360561486275927,1,11,1.4837209302325582,0.8344139379195937,1,3,645
2741-557-541,VDOL/spaceStation_8,1,8,0,0,0.0,0,2741-557-541,2741,557,541,/home/anna/.ssgetpy/MM/VDOL/spaceStation_8/spaceStation_8.mtx,557,557,561,False,1.0,1.0,0.0018082250063658546,1.007181328545781,5,1.5192017490506762,1.786624203821656,1.5192017490506762,1,5,1.0,0.0,1,1,561
71-1906-1189,HB/bcsstm21,1,3,1,51,0.0588235294117647,0,71-1906-1189,71,1906,1189,/home/anna/.ssgetpy/MM/HB/bcsstm21/bcsstm21.mtx,1906,1906,1906,True,1.0,1.0,0.0005246589716684155,1.0,1,0.0,1.0,0.0,1,1,1.0,0.0,1,1,1906
433-558-2858,FIDAP/ex37,1,36,1,54,0.666666666666667,0,433-558-2858,433,558,2858,/home/anna/.ssgetpy/MM/FIDAP/ex37/ex37.mtx,558,558,9638,False,1.0,1.0,0.030954124433139347,17.272401433691755,73,16.602273184063606,11.317204301075268,10.652784551813907,1,46,1.5262074425969914,0.9818957110464275,1,12,6315
500-417-1394,Gset/G38,1,88,0,0,0.0,0,500-417-1394,500,417,1394,/home/anna/.ssgetpy/MM/Gset/G38/G38.mtx,417,417,356,False,1.0,1.0,0.0020472830368798486,0.8537170263788969,5,0.7441727067695755,1.5021097046413503,0.7441727067695755,1,5,1.0,0.0,1,1,356
2562-479-514,CPM/cz1268,1,99,1,89,1.1123595505618,0,2562-479-514,2562,479,514,/home/anna/.ssgetpy/MM/CPM/cz1268/cz1268.mtx,479,479,4695,False,0.23387096774193547,0.4577798861480076,0.020462776923043397,9.801670146137788,27,6.832343360150137,3.4592901878914404,0.8412091886620867,1,6,2.833433916716958,1.4995528927321358,1,6,1657
317-250-83,Bai/odepb400,1,7,1,51,0.137254901960784,0,317-250-83,317,250,83,/home/anna/.ssgetpy/MM/Bai/odepb400/odepb400.mtx,250,250,250,False,1.0,1.0,0.004,1.0,1,0.0,1.0,0.0,1,1,1.0,0.0,1,1,250
1545-1962-2311,Schenk_IBMNA/c-26,1,396,1,51,7.76470588235294,1,1545-1962-2311,1545,1962,2311,/home/anna/.ssgetpy/MM/Schenk_IBMNA/c-26/c-26.mtx,1962,1962,2312,False,1.0,1.0,0.0006006062174173725,1.1783893985728848,2,0.38284020302169053,1.1783893985728848,0.38284020302169053,1,2,1.0,0.0,1,1,2312
1187-423-5262,Rajat/rajat03,1,21,1,52,0.403846153846154,0,1187-423-5262,1187,423,5262,/home/anna/.ssgetpy/MM/Rajat/rajat03/rajat03.mtx,423,423,1457,False,0.504835589941973,1.0,0.008142894667717364,3.4444444444444446,5,1.0227257470941915,2.210401891252955,0.4619678119601011,1,3,1.558288770053476,0.8618927449385054,1,3,935
188-116-15,HB/lns_131,1,33,0,70,0.471428571428571,0,188-116-15,188,116,15,/home/anna/.ssgetpy/MM/HB/lns_131/lns_131.mtx,116,116,396,False,0.026755852842809364,0.7692307692307693,0.029429250891795482,3.413793103448276,11,2.7419756453973907,2.4655172413793105,1.7041077880084379,1,7,1.3846153846153846,0.7038662154655551,1,3,286
433-559-1871,FIDAP/ex37,1,30,1,54,0.555555555555556,0,433-559-1871,433,559,1871,/home/anna/.ssgetpy/MM/FIDAP/ex37/ex37.mtx,559,559,8201,False,1.0,1.0,0.02624479568357756,14.670840787119857,68,14.531037333363225,9.425760286225403,8.783896170571557,1,40,1.5564623268172328,0.9782656555749883,1,10,5269
876-114-79,Pothen/mesh2em5,1,18,1,55,0.327272727272727,0,876-114-79,876,114,79,/home/anna/.ssgetpy/MM/Pothen/mesh2em5/mesh2em5.mtx,114,114,662,True,1.0,1.0,0.050938750384733764,5.807017543859649,10,1.538267383633893,2.4649122807017543,0.49876733248524563,2,3,2.3558718861209966,0.9326288017252494,1,6,281
396-682-2206,DRIVCAV/cavity17,1,222,1,88,2.52272727272727,1,396-682-2206,396,682,2206,/home/anna/.ssgetpy/MM/DRIVCAV/cavity17/cavity17.mtx,682,682,17721,False,0.0,1.0,0.0380995175480087,25.983870967741936,62,14.017104265684868,5.134897360703812,1.9228482061955074,1,13,5.060251284980011,5.698554702164954,1,22,3502
515-186-724,Gset/G51,1,17,0,0,0.0,0,515-186-724,515,186,724,/home/anna/.ssgetpy/MM/Gset/G51/G51.mtx,186,186,112,False,1.0,1.0,0.0032373684819054227,0.6021505376344086,5,0.7565343188599459,1.4177215189873418,0.7565343188599459,1,5,1.0,0.0,1,1,112
370-1042-1435,Bomhof/circuit_1,1,37,1,56,0.660714285714286,0,370-1042-1435,370,1042,1435,/home/anna/.ssgetpy/MM/Bomhof/circuit_1/circuit_1.mtx,1042,1042,2321,False,0.13734567901234568,1.0,0.0021376652753268667,2.227447216890595,10,1.0062639751640636,1.2879078694817658,0.7419611657966712,1,6,1.7295081967213115,0.6072165830211277,1,5,1342
339-185-112,Boeing/bcsstk34,0,200,1,63,3.17460317460317,1,339-185-112,339,185,112,/home/anna/.ssgetpy/MM/Boeing/bcsstk34/bcsstk34.mtx,185,185,5475,True,1.0,1.0,0.15997078159240322,29.594594594594593,47,8.903869366770344,9.232432432432432,2.8767524909319664,5,18,3.2055035128805622,2.3179460072682043,1,18,1708
788-649-5089,Nemeth/nemeth24,1,19,1,53,0.358490566037736,0,788-649-5089,788,649,5089,/home/anna/.ssgetpy/MM/Nemeth/nemeth24/nemeth24.mtx,649,649,95555,False,1.0,1.0,0.22686318408550787,147.23420647149462,189,30.55507040748,13.049306625577811,4.389794542960001,1,23,11.282914157515645,27.085255552219447,1,132,8469
2819-621-1017,Goodwin/Goodwin_017,1,122,1,90,1.35555555555556,0,2819-621-1017,2819,621,1017,/home/anna/.ssgetpy/MM/Goodwin/Goodwin_017/Goodwin_017.mtx,621,621,16391,False,0.058864135550674615,0.9639159083777847,0.04250326080473808,26.394524959742352,62,14.492840221605652,8.455716586151368,4.269509961079881,1,20,3.1215006665397067,5.027906934142852,1,26,5251
391-269-1415,DRIVCAV/cavity12,1,253,1,73,3.46575342465753,1,391-269-1415,391,269,1415,/home/anna/.ssgetpy/MM/DRIVCAV/cavity12/cavity12.mtx,269,269,6018,False,0.0,0.9707803368855277,0.08316634651262421,22.37174721189591,52,10.555011720123034,4.297397769516729,1.2734173476938597,2,6,5.205882352941177,5.772129074132256,1,22,1156
1430-1410-114,Oberwolfach/filter2D,1,241,1,93,2.59139784946237,1,1430-1410-114,1430,1410,114,/home/anna/.ssgetpy/MM/Oberwolfach/filter2D/filter2D.mtx,1410,1410,9182,False,1.0,1.0,0.004618479955736633,6.512056737588653,9,1.1999689817093333,6.2106382978723405,1.3161410456901246,2,9,1.048532602489437,0.22928600715648814,1,4,8757
148-272-244,HB/fs_541_4,0,300,1,55,5.45454545454545,1,148-272-244,148,272,244,/home/anna/.ssgetpy/MM/HB/fs_541_4/fs_541_4.mtx,272,272,1298,False,0.0,0.732943469785575,0.017544333910034602,4.772058823529412,7,1.0143594890424106,4.375,0.6745096257979701,3,6,1.0907563025210083,0.35762794540447734,1,3,1190
37-1314-1259,HB/bcsstk15,0,1350,1,86,15.6976744186047,1,37-1314-1259,37,1314,1259,/home/anna/.ssgetpy/MM/HB/bcsstk15/bcsstk15.mtx,1314,1314,33294,True,1.0,1.0,0.01928302857182572,25.337899543378995,43,8.846138414148157,10.211567732115677,4.951298906380895,2,29,2.4812937844686243,2.129329513011429,1,18,13418
397-1000-1375,DRIVCAV/cavity18,1,324,1,106,3.05660377358491,1,397-1000-1375,397,1000,1375,/home/anna/.ssgetpy/MM/DRIVCAV/cavity18/cavity18.mtx,1000,1000,28021,False,0.0,0.9727352682497801,0.028021,28.021,62,14.103352757411976,5.688,1.886440033502258,1,13,4.926336146272855,5.530730776249598,1,22,5688
363-249-243,Boeing/nasa1824,0,250,1,68,3.67647058823529,1,363-249-243,363,249,243,/home/anna/.ssgetpy/MM/Boeing/nasa1824/nasa1824.mtx,249,249,4167,False,1.0,1.0,0.06720859340978372,16.734939759036145,42,6.075993324213671,8.891566265060241,3.738474813658095,4,21,1.8821138211382114,0.8840225125882857,1,5,2214
26-109-17,HB/bcsstk04,0,150,1,65,2.30769230769231,1,26-109-17,26,109,17,/home/anna/.ssgetpy/MM/HB/bcsstk04/bcsstk04.mtx,109,109,2823,True,1.0,1.0,0.2376062620991499,25.89908256880734,46,11.152771453092969,7.4495412844036695,2.5031585131336733,2,14,3.476600985221675,2.6328156973019627,1,16,812
1048-1483-18,Sandia/adder_dcop_65,1,48,0,0,0.0,0,1048-1483-18,1048,1483,18,/home/anna/.ssgetpy/MM/Sandia/adder_dcop_65/adder_dcop_65.mtx,1483,1483,5220,False,0.001601708489054992,0.6107848371596369,0.00237349434294447,3.5198921105866487,10,1.7495418717407756,3.014208389715832,1.5442725873245593,1,9,1.1717171717171717,0.4134756906031145,1,5,4455
1054-195-337,Sandia/adder_trans_02,1,26,0,0,0.0,0,1054-195-337,1054,195,337,/home/anna/.ssgetpy/MM/Sandia/adder_trans_02/adder_trans_02.mtx,195,195,331,False,0.027777777777777776,1.0,0.008704799474030243,1.6974358974358974,5,0.9740336937561884,1.4761904761904763,0.7805264033742377,1,4,1.1863799283154122,0.40740565558086944,1,3,279
2-383-111,HB/494_bus,1,241,1,88,2.73863636363636,1,2-383-111,2,383,111,/home/anna/.ssgetpy/MM/HB/494_bus/494_bus.mtx,383,383,1153,True,1.0,1.0,0.007860166747336202,3.010443864229765,9,1.3146674316062066,2.4281984334203655,1.0739928877912863,1,7,1.239784946236559,0.5806262442159404,1,5,930
934-1813-2359,Lucifora/cell1,1,169,1,86,1.96511627906977,1,934-1813-2359,934,1813,2359,/home/anna/.ssgetpy/MM/Lucifora/cell1/cell1.mtx,1813,1813,7419,False,0.0,0.7691758829825187,0.0022570946060032813,4.0921125206839495,5,0.6220871267725069,2.90292333149476,0.297919339582798,1,3,1.4096522895686872,0.4917695509278911,1,2,5263
2680-1013-478,VDOL/freeFlyingRobot_8,0,1050,1,51,20.5882352941176,1,2680-1013-478,2680,1013,478,/home/anna/.ssgetpy/MM/VDOL/freeFlyingRobot_8/freeFlyingRobot_8.mtx,1013,1013,1285,False,1.0,1.0,0.0012522303831045375,1.2685093780848964,2,0.4431840384821621,1.2685093780848964,0.4431840384821621,1,2,1.0,0.0,1,1,1285
1027-782-124,Sandia/adder_dcop_44,1,84,0,0,0.0,0,1027-782-124,1027,782,124,/home/anna/.ssgetpy/MM/Sandia/adder_dcop_44/adder_dcop_44.mtx,782,782,1927,False,0.003469210754553339,0.6418039895923677,0.003151143700001962,2.4641943734015346,7,1.4791428872999588,2.1353092783505154,1.252210687295804,1,6,1.1629450814725408,0.383740781424063,1,3,1657
1070-841-16,Sandia/fpga_dcop_16,1,438,1,193,2.26943005181347,1,1070-841-16,1070,841,16,/home/anna/.ssgetpy/MM/Sandia/fpga_dcop_16/fpga_dcop_16.mtx,841,841,2842,False,0.3818090954522739,0.7006496751624188,0.0040182049284513514,3.3793103448275863,5,0.7983335795027743,2.529131985731272,0.7582571749352363,1,5,1.3361542078044193,0.47239237544630486,1,2,2127
34-665-626,HB/bcsstk12,0,700,1,74,9.45945945945946,1,34-665-626,34,665,626,/home/anna/.ssgetpy/MM/HB/bcsstk12/bcsstk12.mtx,665,665,14321,True,1.0,1.0,0.03238396743739047,21.535338345864663,33,7.040315648775576,3.4466165413533836,1.2447513187141717,1,6,6.24825479930192,2.9305324626224407,1,9,2292
227-211-771,HB/orsreg_1,1,4,1,51,0.0784313725490196,0,227-211-771,227,211,771,/home/anna/.ssgetpy/MM/HB/orsreg_1/orsreg_1.mtx,211,211,949,False,0.6395663956639567,1.0,0.021315783562813054,4.497630331753554,5,0.5871806489745908,2.6018957345971563,0.48950715957062957,2,3,1.7285974499089254,0.9414179709667067,1,3,549
395-382-143,DRIVCAV/cavity16,1,120,1,74,1.62162162162162,1,395-382-143,395,382,143,/home/anna/.ssgetpy/MM/DRIVCAV/cavity16/cavity16.mtx,382,382,8246,False,0.5793311541362837,0.8793060095549409,0.05650886762972506,21.586387434554975,52,10.031188173094481,5.528795811518324,2.0840853242934503,2,11,3.9043560606060606,4.3674003217235,1,22,2112
234-434-1,HB/pores_3,0,450,1,70,6.42857142857143,1,234-434-1,234,434,1,/home/anna/.ssgetpy/MM/HB/pores_3/pores_3.mtx,434,434,2755,False,0.3033175355450237,0.7445066781559673,0.01462655821954172,6.347926267281106,9,2.103575589762486,3.122119815668203,0.989026950201485,1,4,2.0332103321033212,1.2196138566982762,1,4,1355
1633-294-1534,Bai/rdb3200l,1,43,1,71,0.605633802816901,0,1633-294-1534,1633,294,1534,/home/anna/.ssgetpy/MM/Bai/rdb3200l/rdb3200l.mtx,294,294,1586,False,0.7739938080495357,1.0,0.018348836133092693,5.394557823129252,6,0.5896825287828391,3.4285714285714284,0.5345224838248488,2,4,1.5734126984126984,0.9011497617888403,1,3,1008
1065-217-237,Sandia/fpga_dcop_11,1,9,1,51,0.176470588235294,0,1065-217-237,1065,217,237,/home/anna/.ssgetpy/MM/Sandia/fpga_dcop_11/fpga_dcop_11.mtx,217,217,433,False,0.0,1.0,0.009195353479581218,1.9953917050691243,2,0.06772782698939661,1.0,0.0,1,1,1.9953917050691243,0.06772782698939661,1,2,217
1131-219-161,Sandia/oscil_dcop_20,1,50,1,82,0.609756097560976,0,1131-219-161,1131,219,161,/home/anna/.ssgetpy/MM/Sandia/oscil_dcop_20/oscil_dcop_20.mtx,219,219,759,False,0.5777777777777777,1.0,0.015825358103459062,3.4657534246575343,12,1.437420874431295,2.315068493150685,1.2879140934874755,1,10,1.4970414201183433,0.8364779667253156,1,3,507
1621-708-411,Bai/mhd1280b,1,240,1,56,4.28571428571429,1,1621-708-411,1621,708,411,/home/anna/.ssgetpy/MM/Bai/mhd1280b/mhd1280b.mtx,708,708,12560,True,1.0,1.0,0.02505665677168119,17.740112994350284,32,9.757525039808328,4.519774011299435,1.6843929499811072,1,7,3.925,3.8469955809696477,1,12,3200
1081-270-790,Sandia/fpga_dcop_27,1,3,1,51,0.0588235294117647,0,1081-270-790,1081,270,790,/home/anna/.ssgetpy/MM/Sandia/fpga_dcop_27/fpga_dcop_27.mtx,270,270,540,False,-0.007407407407407408,0.9925925925925926,0.007407407407407408,2.0,2,0.0,1.0,0.0,1,1,2.0,0.0,2,2,270
142-178-5,HB/fs_183_3,1,11,0,57,0.192982456140351,0,142-178-5,142,178,5,/home/anna/.ssgetpy/MM/HB/fs_183_3/fs_183_3.mtx,178,178,773,False,0.0,0.32605042016806723,0.024397172074233052,4.342696629213483,57,6.388233348310043,3.4269662921348316,2.877216353123971,1,21,1.2672131147540984,1.376288822084673,1,25,610
778-115-3184,Nemeth/nemeth14,1,116,1,54,2.14814814814815,1,778-115-3184,778,115,3184,/home/anna/.ssgetpy/MM/Nemeth/nemeth14/nemeth14.mtx,115,115,5385,False,1.0,1.0,0.4071833648393195,46.82608695652174,60,9.623576908518874,5.226086956521739,1.5551366195553502,2,8,8.960066555740433,12.504178442878366,1,49,601
326-715-1128,Bai/qc2534,1,539,1,100,5.39,1,326-715-1128,326,715,1128,/home/anna/.ssgetpy/MM/Bai/qc2534/qc2534.mtx,715,715,119975,False,1.0,1.0,0.23468140251357034,167.7972027972028,183,33.48928634456046,2.4853146853146852,0.5053501233075924,1,3,67.51547552054024,83.767041117036,1,182,1777
246-819-25,HB/sherman5,1,468,1,59,7.93220338983051,1,246-819-25,246,819,25,/home/anna/.ssgetpy/MM/HB/sherman5/sherman5.mtx,819,819,4868,False,0.14522104223265003,0.7419115831069399,0.007257428502849749,5.943833943833944,15,5.319053268168786,2.166056166056166,1.06642417196437,1,5,2.7440811724915446,2.4142349422606837,1,9,1774
34-1239-40,HB/bcsstk12,0,1250,1,188,6.64893617021277,1,34-1239-40,34,1239,40,/home/anna/.ssgetpy/MM/HB/bcsstk12/bcsstk12.mtx,1239,1239,27927,True,1.0,1.0,0.0181920513106133,22.53995157384988,33,6.874980219919858,3.6771589991928977,1.2637823239985986,2,7,6.129719051799825,2.9476831291303927,1,9,4556
768-1931-648,Nemeth/nemeth04,1,4,1,52,0.0769230769230769,0,768-1931-648,768,1931,648,/home/anna/.ssgetpy/MM/Nemeth/nemeth04/nemeth04.mtx,1931,1931,80249,False,1.0,1.0,0.021521626084374943,41.55825996892802,51,6.7831773111681635,6.042982910409115,1.4701293760792649,2,9,6.877110292227269,9.857575949277347,1,45,11669
159-638-243,HB/gr_30_30,1,27,1,61,0.442622950819672,0,159-638-243,159,638,243,/home/anna/.ssgetpy/MM/HB/gr_30_30/gr_30_30.mtx,638,638,5438,True,1.0,1.0,0.013359735065496604,8.523510971786834,9,1.1247760734461154,2.909090909090909,0.2874797872880345,2,3,2.929956896551724,0.2594074777669354,1,3,1856
407-286-1622,FIDAP/ex10,1,287,1,89,3.2247191011236,1,407-286-1622,407,286,1622,/home/anna/.ssgetpy/MM/FIDAP/ex10/ex10.mtx,286,286,5436,True,1.0,1.0,0.06645801750696856,19.006993006993007,50,9.805447682013623,11.433566433566433,4.833680554208359,4,25,1.6623853211009174,0.47289640249313797,1,2,3270
1632-451-68,Bai/rdb2048_noL,1,39,1,70,0.557142857142857,0,1632-451-68,1632,451,68,/home/anna/.ssgetpy/MM/Bai/rdb2048_noL/rdb2048_noL.mtx,451,451,2545,False,0.7851002865329513,1.0,0.012512229536727941,5.643015521064301,6,0.5400285343765779,3.680709534368071,0.493914570539416,2,4,1.533132530120482,0.8792034013753497,1,3,1660
6-115-14,HB/arc130,1,7,1,52,0.134615384615385,0,6-115-14,6,115,14,/home/anna/.ssgetpy/MM/HB/arc130/arc130.mtx,115,115,458,False,0.0,0.16909620991253643,0.034631379962192815,3.982608695652174,22,3.9474429999919276,3.8,3.5611429528221383,1,22,1.0480549199084668,0.3826645311978794,1,7,437
